CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH SURABAYA;JAWATIMUR;BTDSBY220500010;9-May-22;OFFLINE;REVO;18.285.000;500.000;TUNAI
FKH JAMBI;JAMBI;BTDJMB220500014;9-May-22;OFFLINE;VARIO 160;25.060.000;230.000;TUNAI
FKH SINTANG;KALIMANTANBARAT;BTDSTG220500013;9-May-22;OFFLINE;VARIO 160;30.180.000;400.000;TUNAI
FKH MAKALE;SULAWESISELATAN;BTDMKL220500020;9-May-22;OFFLINE;REVO;16.520.000;500.000;TUNAI
FKH JAMBI SELATAN;JAMBI;BTDJMS220500001;10-May-22;OFFLINE;CBR 150R;39.855.000;900.000;TUNAI
FKH ENDE SELATAN;NUSATENGGARATIMUR;BTDEDS220500003;9-May-22;OFFLINE;VARIO 150;26.453.500;53.500;TUNAI
FKH ROTE;NUSATENGGARATIMUR;BTDRTE220500005;9-May-22;OFFLINE;VARIO 125;23.661.000;0;TUNAI
FKH BULULAWANG;JAWATIMUR;BTDBLW220500008;9-May-22;OFFLINE;CBR 150R;37.896.000;1.000.000;TUNAI
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500013;9-May-22;OFFLINE;VARIO 160;30.590.000;0;TUNAI
FKH AMUNTAI;KALIMANTANSELATAN;BTDAMT220500014;9-May-22;OFFLINE;VARIO 160;29.006.000;6.000;TUNAI
FKH AMUNTAI TENGAH;KALIMANTANSELATAN;BTDATT220500006;9-May-22;OFFLINE;VARIO 125;23.356.000;0;TUNAI
FKH TAMAFKHARI;KEPULAUANBANGKABELIT;BTDTMS220500005;10-May-22;OFFLINE;ADV 150;40.095.000;1.000.000;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500005;9-May-22;OFFLINE;VARIO 160;27.436.000;600.000;TUNAI
FKH NUNUKAN;KALIMANTANUTARA;BTDNUK220500015;9-May-22;OFFLINE;BEAT;19.510.000;0;TUNAI
FKH MALANG KOTA;JAWATIMUR;BTDMLG220500008;9-May-22;OFFLINE;VARIO 160;27.656.000;200.000;TUNAI
FKH MADIUN;JAWATIMUR;BTDMDN220500008;10-May-22;OFFLINE;CB150R;31.891.000;600.000;TUNAI
FKH PONTIANAK;KALIMANTANBARAT;BTDPNK220500015;10-May-22;OFFLINE;SUPRAX125;20.700.000;500.000;TUNAI
FKH ENDE SELATAN;NUSATENGGARATIMUR;BTDEDS220500004;10-May-22;OFFLINE;VARIO 125;23.854.500;0;TUNAI
FKH CIANJUR;JAWABARAT;BTDCJR220500011;10-May-22;OFFLINE;VARIO 160;26.000.000;800.000;TUNAI
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220500015;10-May-22;OFFLINE;REVO;18.580.000;0;TUNAI
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500018;11-May-22;OFFLINE;GENIO;20.658.000;108.000;TUNAI
FKH PALEMBANG;SUMATERASELATAN;BTDPLM220500021;10-May-22;OFFLINE;CRF150L;36.220.000;300.000;TUNAI
FKH MBAY;NUSATENGGARATIMUR;BTDMBY220500003;10-May-22;OFFLINE;SONIC 150R;26.348.500;0;TUNAI
FKH AMUNTAI;KALIMANTANSELATAN;BTDAMT220500020;10-May-22;OFFLINE;PCX160;31.924.000;0;TUNAI
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500016;10-May-22;OFFLINE;VARIO 160;28.174.750;174.750;TUNAI
FKH MALINAU;KALIMANTANUTARA;BTDMLU220500011;10-May-22;OFFLINE;VARIO 160;30.970.000;0;TUNAI
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500015;10-May-22;OFFLINE;VARIO 160;28.174.749;175.000;TUNAI
FKH BELOPA;SULAWESISELATAN;BTDPLP220500024;10-May-22;OFFLINE;REVO;18.140.000;500.000;TUNAI
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500015;11-May-22;OFFLINE;BEAT;18.960.000;0;TUNAI
FKH SLIPI;DKIJAKARTA;BTDSLP220500046;11-May-22;OFFLINE;SUPRAX125;20.088.000;550.000;TUNAI
FKH MANGGAR;KEPULAUANBANGKABELIT;BTDMGR220500018;12-May-22;OFFLINE;BEAT;20.560.000;0;TUNAI
FKH SLIPI;DKIJAKARTA;BTDSLP220500045;11-May-22;OFFLINE;REVO;15.809.000;300.000;TUNAI
FKH SUKARAMI;SUMATERASELATAN;BTDSKM220500020;11-May-22;OFFLINE;CRF150L;36.220.000;350.000;TUNAI
FKH KENDARI;KEPULAUANRIAU;BTDKDI220500032;11-May-22;ONLINE;REVO;18.790.000;1.000;TUNAI
FKH SAWAH BESAR;DKIJAKARTA;BTDSWB220500026;11-May-22;OFFLINE;REVO;15.809.000;0;TUNAI
FKH BANGLI;BALI;BTDBGL220500015;11-May-22;OFFLINE;VARIO 160;29.300.000;0;TUNAI
FKH LOA JANAN ILIR(DLR)1;KALIMANTANTIMUR;BTDLJI220500007;11-May-22;OFFLINE;REVO;16.850.000;200.000;TUNAI
FKH SIMPANG BRAYAN;SUMATERAUTARA;BTDSPB220500010;11-May-22;ONLINE;VARIO 160;26.110.000;510.000;TUNAI
FKH BONTANG;KALIMANTANTIMUR;BTDBTA220500020;11-May-22;OFFLINE;SCOOPY;23.820.000;0;TUNAI
FKH MALANG KOTA;JAWATIMUR;BTDMLG220500015;11-May-22;OFFLINE;VARIO 160;30.675.000;200.000;TUNAI
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220500016;11-May-22;OFFLINE;PCX160;33.830.000;0;TUNAI
FKH PRINGSEWU;LAMPUNG;BTDPSW220500026;11-May-22;OFFLINE;SONIC 150R;24.710.840;110.840;TUNAI
FKH PRINGSEWU;LAMPUNG;BTDPSW220500027;12-May-22;OFFLINE;GENIO;19.220.000;200.000;TUNAI
FKH NUNUKAN;KALIMANTANUTARA;BTDNUK220500020;11-May-22;ONLINE;REVO;18.900.000;0;TUNAI
FKH BONTANG;KALIMANTANTIMUR;BTDBTA220500022;11-May-22;OFFLINE;VARIO 160;31.570.000;0;TUNAI
FKH WAIKABUBAK;NUSATENGGARATIMUR;BTDWKB220500013;11-May-22;OFFLINE;BEAT;20.133.000;0;TUNAI
